,dataset_name,category,label,cnt,mx,ag
0,brightening_100,color,blue-c,1,0.025991551464527887,0.025991551464527887
1,brightening_100,color,red-c,1,0.04193424651182346,0.04193424651182346
2,brightening_100,object,airplane,12,0.18354442621883427,0.12092606901658298
3,brightening_100,object,bathtub,1,0.07168710101494001,0.07168710101494001
4,brightening_100,object,bed,8,0.14652621202756938,0.06307336625231665
5,brightening_100,object,bird,2,0.06791605238299578,0.06148331564763515
6,brightening_100,object,boat,1,0.13717005595507087,0.13717005595507087
7,brightening_100,object,book,3,0.1052121737197327,0.0788273550825076
8,brightening_100,object,bottle,1,0.07713771540754745,0.07713771540754745
9,brightening_100,object,bridge,1,0.06582460753222544,0.06582460753222544
10,brightening_100,object,bus,8,0.2485406363875981,0.1460055989639951
11,brightening_100,object,car,5,0.26559326098944225,0.12345464367076675
12,brightening_100,object,cat,5,0.15756869114020094,0.0973514097701635
13,brightening_100,object,chair,1,0.05855647077957499,0.05855647077957499
14,brightening_100,object,court,1,0.051919310007104084,0.051919310007104084
15,brightening_100,object,curtain,1,0.0571978049831445,0.0571978049831445
16,brightening_100,object,dog,3,0.2169352934576463,0.10221078719982175
17,brightening_100,object,earth,1,0.035427074325572384,0.035427074325572384
18,brightening_100,object,fireplace,1,0.04327860025098513,0.04327860025098513
19,brightening_100,object,flower,1,0.07836484434340464,0.07836484434340464
20,brightening_100,object,grass,6,0.1074908037483642,0.0643584762458078
21,brightening_100,object,horse,6,0.14995663286844793,0.10709989078295633
22,brightening_100,object,house,10,0.15844025300829495,0.06680739714969589
23,brightening_100,object,motorbike,3,0.0646085692064798,0.06310786841028386
24,brightening_100,object,mountain,3,0.09124031678729663,0.07557772235006627
25,brightening_100,object,path,1,0.03625285450217386,0.03625285450217386
26,brightening_100,object,person,4,0.06988708903214792,0.04525125269342592
27,brightening_100,object,plant,4,0.07896923279958411,0.055337425804731555
28,brightening_100,object,pool table,3,0.1301727976864909,0.08685435686947818
29,brightening_100,object,pottedplant,1,0.07056924461345376,0.07056924461345376
30,brightening_100,object,road,2,0.046878623076850236,0.04133487556433127
31,brightening_100,object,rock,2,0.05042524841055317,0.04648273928870111
32,brightening_100,object,sea,1,0.11320340298420042,0.11320340298420042
33,brightening_100,object,seat,1,0.08110318793292333,0.08110318793292333
34,brightening_100,object,sheep,1,0.058169074537882115,0.058169074537882115
35,brightening_100,object,shelf,2,0.059059027594608515,0.05605170074961885
36,brightening_100,object,sink,2,0.09887900337368584,0.07941744106717316
37,brightening_100,object,skyscraper,1,0.07193945107183945,0.07193945107183945
38,brightening_100,object,snow,1,0.06876355129355706,0.06876355129355706
39,brightening_100,object,sofa,1,0.1024795565437653,0.1024795565437653
40,brightening_100,object,stove,2,0.08625579878671538,0.062074453456681826
41,brightening_100,object,tent,2,0.07625922454539964,0.06245685148642052
42,brightening_100,object,toilet,2,0.08031603850570572,0.0778351496968644
43,brightening_100,object,track,1,0.057562266158022166,0.057562266158022166
44,brightening_100,object,train,8,0.2510350155400102,0.07956257985623875
45,brightening_100,object,tree,5,0.06099004056769585,0.04955964731981602
46,brightening_100,object,washer,1,0.04263174325553257,0.04263174325553257
47,brightening_100,object,water,5,0.17988557712137346,0.0845418189973137
48,brightening_100,object,windowpane,1,0.044284375125322496,0.044284375125322496
49,brightening_100,object,work surface,1,0.049534696815031865,0.049534696815031865
50,brightening_100,part,body,2,0.07541967513113433,0.060491668112151425
51,brightening_100,part,coach,5,0.10252693530661404,0.059430431129610495
52,brightening_100,part,crosswalk,3,0.12847949308530746,0.09338391772991338
53,brightening_100,part,garage door,1,0.03872221218145671,0.03872221218145671
54,brightening_100,part,hair,1,0.0386358602583287,0.0386358602583287
55,brightening_100,part,head,2,0.061040528016921274,0.053243003769230815
56,brightening_100,part,headboard,3,0.04649500694985262,0.03242296715520644
57,brightening_100,part,screen,6,0.17726361639556235,0.0679504311183629
58,brightening_100,part,shop window,2,0.0715031749998398,0.06294100718512606
59,brightening_100,part,water tank,1,0.03377649314306639,0.03377649314306639
60,brightening_100,part,wheel,4,0.2270180910053344,0.09876586053090758
61,brightening_100,scene,abbey-s,1,0.03385391471140582,0.03385391471140582
62,brightening_100,scene,airplane_cabin-s,2,0.0964733394831102,0.0902043516221237
63,brightening_100,scene,airport_terminal-s,7,0.0859332905136577,0.06646228457797607
64,brightening_100,scene,alley-s,6,0.11053730475727233,0.057558155560359585
65,brightening_100,scene,amphitheater-s,2,0.10122498580434224,0.06716007946970858
66,brightening_100,scene,amusement_park-s,2,0.0815417562839815,0.06053425365652006
67,brightening_100,scene,aqueduct-s,1,0.04598522830217818,0.04598522830217818
68,brightening_100,scene,arch-s,1,0.033489007146242214,0.033489007146242214
69,brightening_100,scene,archive-s,1,0.03734090230056767,0.03734090230056767
70,brightening_100,scene,art_gallery-s,5,0.23529276989002976,0.09956073789713386
71,brightening_100,scene,attic-s,4,0.16400899087739776,0.11190142687796806
72,brightening_100,scene,auditorium-s,4,0.13252890785250873,0.0939580646261631
73,brightening_100,scene,badlands-s,1,0.07084734312391731,0.07084734312391731
74,brightening_100,scene,bakery-shop-s,6,0.17422389620562218,0.08566581900260567
75,brightening_100,scene,balcony-interior-s,2,0.10084231555308394,0.06509850423089562
76,brightening_100,scene,ball_pit-s,2,0.11085583104786592,0.08614813077727398
77,brightening_100,scene,bank_vault-s,2,0.05762353880563055,0.040497181339087654
78,brightening_100,scene,bar-s,1,0.03412692649630352,0.03412692649630352
79,brightening_100,scene,bathroom-s,5,0.06536954827962578,0.04710976889691994
80,brightening_100,scene,beach-s,3,0.14578765981319644,0.09744010639235594
81,brightening_100,scene,bookstore-s,1,0.06434023008014086,0.06434023008014086
82,brightening_100,scene,booth-indoor-s,1,0.05807016159898557,0.05807016159898557
83,brightening_100,scene,bow_window-outdoor-s,1,0.03101201667620371,0.03101201667620371
84,brightening_100,scene,bowling_alley-s,3,0.1179777584321249,0.0770521110672261
85,brightening_100,scene,boxing_ring-s,2,0.07191444826162305,0.05887734053991585
86,brightening_100,scene,bridge-s,1,0.04271922737345847,0.04271922737345847
87,brightening_100,scene,bullring-s,2,0.060822742449623185,0.05816031912750665
88,brightening_100,scene,bus_interior-s,2,0.11123693949539183,0.093180105682115
89,brightening_100,scene,butchers_shop-s,2,0.10646194207957248,0.07232976524285688
90,brightening_100,scene,car_interior-backseat-s,2,0.1649847490701037,0.12590454786902372
91,brightening_100,scene,carrousel-s,3,0.13369494601012588,0.10147237776617314
92,brightening_100,scene,casino-indoor-s,1,0.06679078439093811,0.06679078439093811
93,brightening_100,scene,castle-s,4,0.10170758168084867,0.06697509389421195
94,brightening_100,scene,cathedral-indoor-s,2,0.05362702018707848,0.051397433358090105
95,brightening_100,scene,catwalk-s,1,0.08351325252583483,0.08351325252583483
96,brightening_100,scene,cemetery-s,3,0.09385127894562936,0.07658737168734517
97,brightening_100,scene,childs_room-s,3,0.09299243446361873,0.05913911690188404
98,brightening_100,scene,church-indoor-s,1,0.03973931325376287,0.03973931325376287
99,brightening_100,scene,church-outdoor-s,1,0.03040771874630108,0.03040771874630108
100,brightening_100,scene,classroom-s,5,0.17877647471284913,0.08674571000401021
101,brightening_100,scene,cloister-indoor-s,3,0.08973041117145072,0.05482791984423784
102,brightening_100,scene,closet-s,9,0.23241637586280556,0.07588476183944466
103,brightening_100,scene,coast-s,2,0.07624999627022656,0.062243744285020136
104,brightening_100,scene,cockpit-s,10,0.13722378104658522,0.08301509531713133
105,brightening_100,scene,conference_room-s,7,0.1263776610242084,0.08036338618312196
106,brightening_100,scene,corridor-s,8,0.11146002186285443,0.06292409437938251
107,brightening_100,scene,courthouse-s,1,0.0353225392256015,0.0353225392256015
108,brightening_100,scene,covered_bridge-interior-s,1,0.037823483426937234,0.037823483426937234
109,brightening_100,scene,creek-s,2,0.08963001604502091,0.06884220150943196
